Donald,Jeb,Ben,Marco,Ted,Rand,John,Chris,Bernie,Hillary,Martin
,,,,,,,,And I got a little bit upset that our Republicans friends suffer from a very serious illness called amnesia.,You know one of the many reasons why we can't turn the White House over to the Republicans again is because of the Supreme Court.,
,,,,,,,,"They forgot what the economy of this country was like seven years ago when we were losing 800,000 jobs a month, when we were running up a $1.","I'm looking for people who understand the way the real world works, who don't have a kneejerk reaction to support business, to support the idea that you know money is speech, that gutted the Voting Rights Act.",
,,,,,,,,"4 trillion deficit, and by the way, the world's financial system was on the verge of collapse.",I voted for the reauthorization of the Voting Rights Act when I was in the Senate.,
,,,,,,,,"President Obama and Vice President Biden have taken us a very, very long way from those dismal days.",It passed 98 to nothing based on a very extensive set of hearings and research.,
,,,,,,,,Are we where we want to be today?,Supreme Court comes along.,
,,,,,,,,No.,"They substitute their judgment for the Congress, signed by George W.",
,,,,,,,,But we have come a long way and President Obama deserves an enormous amount of credit for that.,Bush.,
,,,,,,,,Unbelievable.,That is one of our problems.,
,,,,,,,,Thank you very much for your question.,They have a view that I just fundamentally disagree with about what the way we have to keep the balance of power in our society is.,
,,,,,,,,It is a crisis here in New Hampshire.,So they have given way too much power to corporations.,
,,,,,,,,"And by the way, there's a crisis in Vermont.","They have given Citizens United, the biggest gift to the Koch brothers, Karl Rove and all of those folks whose values I don't share, and who are doing everything they can to try to turn the clock back.",
,,,,,,,,You may recall our governor gave his state of the union speech a year ago on this issue.,We have to preserve marriage equality.,
,,,,,,,,"Because, you know, people think, well, New Hampshire and Vermont, these are rural states, not a problem.",We have to go further to end discrimination against the LGBT community|,
,,,,,,,,"You're right, it is a terrible problem.",We've got to make sure to preserve Roe v.,
,,,,,,,,What do we do?,"Wade, not let it be nibbled away or repealed.",
,,,,,,,,"For a start, we understand that substance abuse and addiction is a health issue, not a criminal issue.",We've got work to do|,
,,,,,,,,"And when I talk about moving toward universal health care, what I understand that to be, and it is absolutely imperative that it be, is understanding that mental health and addiction is part of health care.",we've got to make sure to preserve Roe v.,
,,,,,,,,And what that means is that when people need treatment they shouldn't have to wait three months.,"Wade, not let it be nibbled away or repealed.",
,,,,,,,,"When they need it, they should be able to get it.","We've got work to do and here's how I think about it, because when I was a senator, I had to vote on Supreme Court justices.",
,,,,,,,,So that means we need a revolution in this country in mental health care to address the causes of addiction and provide treatment.,"I'm looking for people who are rooted in the real world, who know that part of the genius of our system, both economic and government, is this balance of power.",
,,,,,,,,"And I was to a treatment center in Manchester, which is kind of peer-oriented.","If it gets too far out of whack, so that business has too much power, any branch of the government has too much power, the delicate balance that makes up our political system and the broad-based prosperity we should be working for in our economy is the worse off for it.",
,,,,,,,,Former people who had addiction work with other people.,So I have very strong feelings about what I'll be looking for if I am given the honor of appointing somebody to the Supreme Court.,
,,,,,,,,That's one approach.,Thank you.,
,,,,,,,,There are many other approaches.,"Well, first of all, thank you for being here.",
,,,,,,,,"But the bottom line is we have a very, very serious crisis in this country.",Thank you so much for being part of this great New Hampshire primary process and thank you for support.,
,,,,,,,,"And we have got to make sure that when people need the help, they get the help.",And I really appreciate your asking the question.,
,,,,,,,,"And the other question that we have to ask is, and it's a tough question.","And I have to tell you, this is the first time I've been asked that question.",
,,,,,,,,Nobody I know knows the answer.,"And I thank you for it, because we need to have a conversation in our country.",
,,,,,,,,Why is it?,"There are states, as you know that are moving to open up the opportunity without criminal liability for people to make this decision, in consultation by their families, even, in some cases, with medical professionals.",
,,,,,,,,Why is it?,But the issue is whether the medical professionals want to be involved or just be counselors.,
,,,,,,,,"One of the reasons, by the way, is I think that doctors are prescribing opiates in a way that they have got to cut back a little bit on.","So it is a crucial issue that people deserve to understand from their own ethical, religious, faith-based perspective.",
